,Name,RA2000,DEC2000,MWA_072-103_S,MWA_072-103_dS,MWA_103-134_S,MWA_103-134_dS,MWA_139-170_S,MWA_139-170_dS,MWA_170-231_S,MWA_170-231_dS,MOST_70cm_S,MOST_70cm_dS,SUMSS_40cm_S,SUMSS_40cm_dS,ATCA_20cm_S,ATCA_20cm_dS,PMN_6cm_S,PMN_6cm_dS,ATCA_6cm_S,ATCA_6cm_dS,AT20G_6cm_S,AT20G_6cm_dS,ATCA_3cm_S,ATCA_3cm_dS,AT20G_3cm_S,AT20G_3cm_dS,AT20G_2cm_S,AT20G_2cm_dS,alpha,alpha_err,alpha_N
4271,055331-711037,05:53:31.49,-71:10:37.6,,,,,,,,,,,,,2.01,0.21,,,,,,,,,,,,,,,
4272,043610-711204,04:36:10.87,-71:12:04.0,,,,,,,,,,,9.3,1.1,5.10,0.53,,,,,,,,,,,,,-1.19,0.53,2
4273,055331-733030,05:53:31.92,-73:30:30.2,,,,,,,,,,,,,3.54,0.35,,,,,,,,,,,,,,,
4274,055332-631934,05:53:32.33,-63:19:34.7,,,,,,,,,,,,,3.28,0.45,,,,,,,,,,,,,,,
4275,055332-714549,05:53:32.74,-71:45:49.3,,,,,,,,,,,,,2.46,0.33,,,,,,,,,,,,,,,
4276,055332-730507,05:53:32.98,-73:05:07.1,,,,,,,,,,,,,2.74,0.40,,,,,,,,,,,,,,,
4277,055334-725548,05:53:34.01,-72:55:49.1,,,,,,,,,,,,,1.84,0.19,,,,,,,,,,,,,,,
4278,055336-642301,05:53:36.65,-64:23:01.7,,,,,,,,,,,,,16.7,1.7,,,,,,,,,,,,,,,
4279,055356-731828,05:53:56.23,-73:18:28.4,,,,,,,,,,,,,4.55,0.49,,,,,,,,,,,,,,,
4280,055356-674940,05:53:56.71,-67:49:40.8,,,,,,,,,,,,,3.15,0.42,,,,,,,,,,,,,,,
4281,055359-725318,05:53:59.95,-72:53:18.2,,,,,,,,,,,,,3.41,0.44,,,,,,,,,,,,,,,
4282,055401-721800,05:54:01.42,-72:18:00.0,,,,,,,,,,,,,2.51,0.33,,,,,,,,,,,,,,,
4283,043612-645524,04:36:12.00,-64:55:25.0,,,,,,,,,,,11.1,1.6,6.34,0.76,,,,,,,,,,,,,-1.10,0.72,2
4284,055402-642956,05:54:02.09,-64:29:56.8,,,,,,,,,,,,,3.01,0.44,,,,,,,,,,,,,,,
4285,055405-640455,05:54:05.45,-64:04:55.6,,,,,,,,,,,,,3.24,0.68,,,,,,,,,,,,,,,
4286,055405-741700,05:54:05.88,-74:17:00.2,,,,,,,,,,,,,2.48,0.35,,,,,,,,,,,,,,,
4287,055411-711212,05:54:11.62,-71:12:12.2,,,,,,,,,,,,,3.25,0.58,,,,,,,,,,,,,,,
4288,055419-632517,05:54:19.70,-63:25:18.1,,,,,,,,,,,,,4.83,0.52,,,,,,,,,,,,,,,
4289,055420-683129,05:54:20.06,-68:31:30.0,,,,,,,,,,,,,1.82,0.19,,,,,,,,,,,,,,,
4290,055420-740520,05:54:20.18,-74:05:20.4,,,,,,,,,,,,,1.65,0.17,,,,,,,,,,,,,,,
4291,055420-722630,05:54:20.54,-72:26:30.8,,,,,,,,,,,,,2.34,0.40,,,,,,,,,,,,,,,
4292,055425-640728,05:54:25.25,-64:07:28.6,,,,,,,,,,,,,3.42,0.43,,,,,,,,,,,,,,,
4293,055426-725509,05:54:26.90,-72:55:09.9,,,,,,,,,,,,,1.97,0.20,,,,,,,,,,,,,,,
4294,043612-722349,04:36:12.79,-72:23:49.2,,,,,,,,,,,8.3,1.1,7.87,0.95,,,,,,,,,,,,,-0.11,0.62,2
4295,055436-682937,05:54:36.98,-68:29:37.3,,,,,,,,,,,,,1.75,0.18,,,,,,,,,,,,,,,
4296,055439-661707,05:54:39.17,-66:17:07.4,,,,,,,,,,,,,2.81,0.43,,,,,,,,,,,,,,,
4297,055440-643846,05:54:40.73,-64:38:46.7,,,,,,,,,,,,,2.68,0.39,,,,,,,,,,,,,,,
4298,055443-642622,05:54:43.08,-64:26:22.6,,,,,,,,,,,,,2.99,0.44,,,,,,,,,,,,,,,
4299,055443-733545,05:54:43.18,-73:35:45.6,,,,,,,,,,,,,2.32,0.32,,,,,,,,,,,,,,,
4300,055444-662134,05:54:44.14,-66:21:34.9,,,,,,,,,,,,,3.45,0.35,,,,,,,,,,,,,,,
4301,055446-710351,05:54:46.92,-71:03:51.8,,,,,,,,,,,,,2.16,0.22,,,,,,,,,,,,,,,
4302,055447-721051,05:54:47.83,-72:10:52.0,,,,,,,,,,,,,2.70,0.35,,,,,,,,,,,,,,,
4303,055447-625607,05:54:47.88,-62:56:07.8,,,,,,,,,,,,,4.59,0.60,,,,,,,,,,,,,,,
4304,055450-653139,05:54:50.86,-65:31:39.4,,,,,,,,,,,,,3.13,0.31,,,,,,,,,,,,,,,
4305,043632-715842,04:36:32.95,-71:58:42.2,,,,,,,,,,,23.6,1.4,11.6,1.2,,,,,,,,,,,,,-1.40,0.39,2
4306,055451-670914,05:54:51.12,-67:09:14.4,,,,,,,,,,,,,1.64,0.16,,,,,,,,,,,,,,,
4307,055456-683204,05:54:56.81,-68:32:04.2,,,,,,,,,,,,,3.02,0.41,,,,,,,,,,,,,,,
4308,055501-691306,05:55:01.49,-69:13:06.2,,,,,,,,,,,,,3.46,0.47,,,,,,,,,,,,,,,
4309,055505-674559,05:55:05.23,-67:45:59.8,,,,,,,,,,,,,2.43,0.44,,,,,,,,,,,,,,,
4310,055505-673014,05:55:05.66,-67:30:14.7,,,,,,,,,,,,,3.67,0.43,,,,,,,,,,,,,,,
4311,055506-671112,05:55:06.65,-67:11:12.5,,,,,,,,,,,,,2.01,0.21,,,,,,,,,,,,,,,
4312,055509-660215,05:55:09.60,-66:02:15.7,,,,,,,,,,,,,2.01,0.29,,,,,,,,,,,,,,,
4313,055511-663816,05:55:11.98,-66:38:16.8,,,,,,,,,,,,,1.89,0.19,,,,,,,,,,,,,,,
4314,055520-641102,05:55:20.09,-64:11:02.8,,,,,,,,,,,,,4.86,0.55,,,,,,,,,,,,,,,
4315,043633-692303,04:36:33.10,-69:23:03.8,,,,,,,,,,,8.00,0.70,4.45,0.47,,,,,,,,,,,,,-1.16,0.37,2
4316,055530-731930,05:55:30.22,-73:19:31.1,,,,,,,,,,,,,1.82,0.19,,,,,,,,,,,,,,,
4317,055530-630042,05:55:30.67,-63:00:42.5,,,,,,,,,,,,,3.55,0.44,,,,,,,,,,,,,,,
