# Name             RA2000        DEC2000       MWA_072-103_S   MWA_072-103_dS   MWA_103-134_S   MWA_103-134_dS   MWA_139-170_S   MWA_139-170_dS   MWA_170-231_S   MWA_170-231_dS   MOST_70cm_S   MOST_70cm_dS   SUMSS_40cm_S   SUMSS_40cm_dS   ATCA_20cm_S   ATCA_20cm_dS   PMN_6cm_S   PMN_6cm_dS   ATCA_6cm_S   ATCA_6cm_dS   AT20G_6cm_S   AT20G_6cm_dS   ATCA_3cm_S   ATCA_3cm_dS   AT20G_3cm_S   AT20G_3cm_dS   AT20G_2cm_S   AT20G_2cm_dS   alpha    alpha_err   alpha_N  
  044305-662714    04:43:05.98   -66:27:14.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            14.2           1.2             8.94          0.92           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.91    0.45        2        
  045935-702237    04:59:36.00   -70:22:37.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            12.2           1.6             20.1          2.0            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            0.99     0.65        2        
  050000-632237    05:00:00.60   -63:22:37.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            210.9          6.4             248           25             234         14           ...          ...           122.0         6.0            ...          ...           96.0          5.0            68.0          3.0            -0.385   0.064       5        
  050021-733810    05:00:21.55   -73:38:11.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            15.7           1.5             6.62          0.68           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.70    0.53        2        
  050028-630507    05:00:28.73   -63:05:07.8   224             47               209             25               160             13               131             13               ...           ...            29.6           1.2             16.4          1.7            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.99    0.22        6        
  050056-692014    05:00:56.28   -69:20:14.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.4           1.0             7.05          0.77           ...         ...          1.91         0.40          ...           ...            ...          ...           ...           ...            ...           ...            -0.98    0.13        3        
  050113-675529    05:01:13.54   -67:55:29.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            6.70           0.90            4.69          0.57           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.71    0.55        2        
  050114-635131    05:01:14.04   -63:51:31.7   416             46               409             22               322             13               262             12               ...           ...            91.1           2.9             57.3          5.7            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.75    0.13        6        
  050140-653433    05:01:40.51   -65:34:33.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.39          0.24           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050307-631335    05:03:07.37   -63:13:35.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            12.00          0.90            6.80          0.74           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.12    0.40        2        
  050307-670910    05:03:07.66   -67:09:10.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.8           1.2             5.06          0.51           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.67    0.59        2        
  044307-685131    04:43:07.92   -68:51:31.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.63          0.50           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050320-624714    05:03:20.93   -62:47:14.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            27.4           1.2             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050338-741016    05:03:38.86   -74:10:16.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.1           1.0             5.43          0.56           26.0        6.0          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            0.67     0.47        3        
  050411-653209    05:04:15.24   -65:31:51.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            12.4           1.0             8.35          0.84           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.78    0.40        2        
  050417-635459    05:04:17.33   -63:54:59.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.9            1.0             5.84          0.64           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.04    0.48        2        
  050422-640223    05:04:22.18   -64:02:23.3   211             37               187             25               138             15               124             15               ...           ...            32.4           1.3             20.7          2.1            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.87    0.20        6        
  050438-705440    05:04:38.18   -70:54:41.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            41.9           2.4             53.6          5.4            51.0        7.0          36.4         3.6           ...           ...            27.7         2.8           ...           ...            ...           ...            -0.16    0.13        4        
  050449-735901    05:04:49.22   -73:59:01.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.00           0.80            12.2          1.2            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            0.60     0.39        2        
  050453-652735    05:04:53.02   -65:27:35.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             6.25          0.66           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050500-632932    05:05:00.82   -63:29:32.6   ...             ...              ...             ...              86              13               93              13               ...           ...            26.1           1.3             12.3          1.2            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.90    0.25        4        
  050535-624736    05:05:35.21   -62:47:36.2   ...             ...              243             27               234             19               198             16               ...           ...            86.3           2.7             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.56    0.22        4        
  044324-661609    04:43:24.36   -66:16:09.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.4           2.0             7.46          0.78           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.16    0.77        2        
  050539-710740    05:05:39.79   -71:07:40.8   462             64               462             34               402             17               361             14               ...           ...            140.9          4.3             92.3          9.2            38.0        7.0          37.4         3.7           ...           ...            21.4         2.2           ...           ...            ...           ...            -0.682   0.095       8        
  050554-685037    05:05:54.55   -68:50:37.7   ...             ...              ...             ...              ...             ...              115             25               ...           ...            43.5           1.5             29.4          3.0            ...         ...          10.6         1.1           ...           ...            4.96         0.60          ...           ...            ...           ...            -0.82    0.25        5        
  050618-625702    05:06:18.19   -62:57:02.9   431             70               286             36               287             20               253             16               ...           ...            89.5           2.9             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.66    0.29        5        
  050639-640554    05:06:39.89   -64:05:54.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.3           1.3             4.56          0.50           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.61    0.60        2        
  050814-733340    05:08:14.90   -73:33:39.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             7.87          0.80           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050833-744726    05:08:33.89   -74:47:26.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.20           0.90            ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  051029-680247    05:10:29.88   -68:02:47.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.1           1.3             6.67          0.73           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.82    0.61        2        
  051054-672013    05:10:54.94   -67:20:13.5   ...             ...              ...             ...              168             27               143             20               ...           ...            57.4           2.0             37.6          3.8            ...         ...          16.4         1.7           ...           ...            6.23         0.70          ...           ...            ...           ...            -0.77    0.15        6        
