# col1   Name            RA            DEC            Peak         Peak_err         Flux         Flux_err         rms  
  270    044936-664127   04:49:35.20   -66:41:29.55   40.9         0.8              52.0         1.0              0.81      
  271    044936-675353   04:49:36.11   -67:53:50.20   6.9          0.8              11.0         1.0              0.77      
  272    044938-650502   04:49:38.44   -65:05:00.50   184.0        1.0              234.0        1.0              1.08      
  273    044939-680051   04:49:38.49   -68:00:54.58   21.7         0.8              32.0         1.0              0.89      
  274    044940-652006   04:49:39.97   -65:20:07.31   14.5         0.7              18.1         0.9              0.71      
  275    044943-731801   04:49:42.50   -73:18:01.81   29.4         0.8              49.0         1.0              0.89      
  276    044945-644354   04:49:45.09   -64:43:46.17   7.0          1.0              8.0          1.0              1.23      
  277    044952-654130   04:49:51.60   -65:41:39.46   3.8          0.7              5.0          1.0              0.74      
  278    044953-732749   04:49:51.77   -73:27:47.66   113.5        0.9              135.0        1.0              0.9       
  279    044953-680436   04:49:52.75   -68:04:35.74   33.4         0.8              44.0         1.0              0.89      
  280    044954-691626   04:49:53.64   -69:16:27.48   10.0         1.0              15.0         2.0              1.14      
  281    044955-731506   04:49:53.51   -73:15:00.60   13.4         0.8              18.0         1.0              0.89      
  282    044955-680147   04:49:55.00   -68:01:46.60   48.5         0.8              63.0         1.0              0.89      
  283    044959-693901   04:49:59.12   -69:38:54.17   13.0         1.0              15.0         1.0              0.97      
  284    045003-712626   04:50:00.17   -71:26:28.06   5.5          0.7              7.0          1.0              0.74      
  285    045009-715838   04:50:09.05   -71:58:36.53   26.3         0.6              31.1         0.8              0.66      
  286    045015-714454   04:50:15.03   -71:44:49.82   4.8          0.6              6.3          0.9              0.66      
  287    045020-671354   04:50:20.02   -67:13:46.48   8.3          0.7              11.0         1.0              0.78      
  288    045023-721845   04:50:22.79   -72:18:48.30   9.1          0.6              12.5         0.9              0.65      
  289    045030-711651   04:50:29.54   -71:16:49.98   5.0          1.0              6.0          1.0              0.97      
  290    045030-664812   04:50:30.10   -66:48:06.21   14.2         0.8              18.5         0.9              0.81      
  291    045033-671839   04:50:33.05   -67:18:36.78   6.0          0.8              8.0          1.0              0.81      
  292    045037-653936   04:50:36.98   -65:39:32.61   8.9          0.7              12.0         1.0              0.74      
  293    045042-713719   04:50:42.15   -71:37:19.75   42.0         0.7              50.7         0.9              0.78      
